season,round,constructorId,position,positionText,points,wins
1958,11,vanwall,1,1,48,6
1958,11,ferrari,2,2,40,2
1958,11,cooper,3,3,31,2
1958,11,brm,4,4,18,0
1958,11,maserati,5,5,6,0
1958,11,team_lotus,6,6,3,0
1958,11,porsche,,-,0,0
1958,11,connaught,,-,0,0
1959,9,cooper-climax,1,1,40,5
1959,9,ferrari,2,2,32,2
1959,9,brm,3,3,18,1
1959,9,team_lotus,4,4,5,0
1959,9,cooper-maserati,,-,0,0
1959,9,aston_martin,,-,0,0
1959,9,porsche,,-,0,0
1959,9,maserati,,-,0,0
1959,9,cooper-borgward,,-,0,0
1959,9,kurtis_kraft,,-,0,0
1959,9,cooper-osca,,-,0,0
1959,9,tec-mec,,-,0,0
1959,9,connaught,,-,0,0
1959,9,jbw,,-,0,0
1959,9,vanwall,,-,0,0
1960,10,cooper-climax,1,1,48,6
1960,10,team_lotus,2,2,34,2
1960,10,ferrari,3,3,26,1
1960,10,brm,4,4,8,0
1960,10,cooper-maserati,5,5,3,0
1960,10,cooper-castellotti,6,6,3,0
1960,10,porsche,7,7,1,0
1960,10,behra-porsche,,-,0,0
1960,10,scarab,,-,0,0
1960,10,aston_martin,,-,0,0
1960,10,maserati,,-,0,0
1960,10,jbw,,-,0,0
1960,10,vanwall,,-,0,0
1961,8,ferrari,1,1,45,5
1961,8,lotus-climax,2,2,35,3
1961,8,porsche,3,3,22,0
1961,8,cooper-climax,4,4,14,0
1961,8,brm,5,5,7,0
1961,8,cooper-maserati,,-,0,0
1961,8,gilby,,-,0,0
1961,8,lotus-maserati,,-,0,0
1961,8,ferguson,,-,0,0
1961,8,de_tomaso-alfa_romeo,,-,0,0
1961,8,de_tomaso-osca,,-,0,0
1961,8,jbw,,-,0,0
1961,8,emeryson,,-,0,0
1961,8,mbm,,-,0,0
1962,9,brm,1,1,42,4
1962,9,lotus-climax,2,2,36,3
1962,9,cooper-climax,3,3,29,1
1962,9,lola,4,4,19,0
1962,9,porsche,5,5,18,1
1962,9,ferrari,6,6,18,0
1962,9,brabham,7,7,6,0
1962,9,lotus-brm,8,8,1,0
1962,9,emeryson,,-,0,0
1962,9,enb,,-,0,0
1962,9,cooper,,-,0,0
1962,9,lds,,-,0,0
1962,9,cooper-alfa_romeo,,-,0,0
1962,9,team_lotus,,-,0,0
1962,9,gilby,,-,0,0
1962,9,de_tomaso-alfa_romeo,,-,0,0
1962,9,lotus-borgward,,-,0,0
1963,10,lotus-climax,1,1,54,7
1963,10,brm,2,2,36,2
1963,10,brabham,3,3,28,0
1963,10,ferrari,4,4,26,1
1963,10,cooper-climax,5,5,25,0
1963,10,brp,6,6,6,0
1963,10,porsche,7,7,5,0
1963,10,lotus-brm,8,8,4,0
1963,10,lola,,-,0,0
1963,10,stebro,,-,0,0
1963,10,scirocco,,-,0,0
1963,10,ats,,-,0,0
1963,10,lds,,-,0,0
1963,10,cooper-maserati,,-,0,0
1963,10,lotus-ford,,-,0,0
1963,10,alfa,,-,0,0
1963,10,gilby,,-,0,0
1963,10,tomaso,,-,0,0
1963,10,team_lotus,,-,0,0
1963,10,lotus-maserati,,-,0,0
1964,10,ferrari,1,1,45,3
1964,10,brm,2,2,42,2
1964,10,lotus-climax,3,3,37,3
1964,10,brabham-climax,4,4,30,2
1964,10,cooper-climax,5,5,16,0
1964,10,brabham-brm,6,6,7,0
1964,10,brp,7,7,5,0
1964,10,lotus-brm,8,8,3,0
1964,10,honda,,-,0,0
1964,10,scirocco,,-,0,0
1964,10,derrington,,-,0,0
1964,10,porsche,,-,0,0
1964,10,brabham-ford,,-,0,0
1965,10,lotus-climax,1,1,54,6
1965,10,brm,2,2,45,3
1965,10,brabham-climax,3,3,27,0
1965,10,ferrari,4,4,26,0
1965,10,cooper-climax,5,5,14,0
1965,10,honda,6,6,11,1
1965,10,brabham-brm,7,7,5,0
1965,10,lotus-brm,8,8,2,0
1965,10,brabham-ford,,-,0,0
1965,10,alfa,,-,0,0
1965,10,lds-alfa_romeo,,-,0,0
1965,10,re,,-,0,0
1965,10,cooper-maserati,,-,0,0
1966,9,brabham-repco,1,1,42,4
1966,9,ferrari,2,2,31,2
1966,9,cooper-maserati,3,3,30,1
1966,9,brm,4,4,22,1
1966,9,lotus-brm,5,5,13,1
1966,9,lotus-climax,6,6,8,0
1966,9,eagle-climax,7,7,4,0
1966,9,honda,8,8,3,0
1966,9,mclaren-ford,9,9,2,0
1966,9,brabham-climax,10,10,1,0
1966,9,brabham-brm,11,11,1,0
